Clean_Title,Title_Counts,Clean_Title_Char_Len,is_original_Prompt,Content_Type_Prompt
teefa in trouble,1,16,Is title 'teefa in trouble' original Netflix content?,"Is Netflix title 'teefa in trouble' a Series, Movie, or Documentary?"
sauerkrautkoma,1,14,Is title 'sauerkrautkoma' original Netflix content?,"Is Netflix title 'sauerkrautkoma' a Series, Movie, or Documentary?"
restaurant to another world 2  2,1,32,Is title 'restaurant to another world 2  2' original Netflix content?,"Is Netflix title 'restaurant to another world 2  2' a Series, Movie, or Documentary?"
reunion 2020,1,12,Is title 'reunion 2020' original Netflix content?,"Is Netflix title 'reunion 2020' a Series, Movie, or Documentary?"
robinson crusoe 2016,1,20,Is title 'robinson crusoe 2016' original Netflix content?,"Is Netflix title 'robinson crusoe 2016' a Series, Movie, or Documentary?"
rock dog,1,8,Is title 'rock dog' original Netflix content?,"Is Netflix title 'rock dog' a Series, Movie, or Documentary?"
rockos modern life static cling,1,31,Is title 'rockos modern life static cling' original Netflix content?,"Is Netflix title 'rockos modern life static cling' a Series, Movie, or Documentary?"
rodrigo marques king of uncouth  rodrigo marques o inimigo do nvel,1,66,Is title 'rodrigo marques king of uncouth  rodrigo marques o inimigo do nvel' original Netflix content?,"Is Netflix title 'rodrigo marques king of uncouth  rodrigo marques o inimigo do nvel' a Series, Movie, or Documentary?"
rooting for roona,1,17,Is title 'rooting for roona' original Netflix content?,"Is Netflix title 'rooting for roona' a Series, Movie, or Documentary?"
rowdy fellow,1,12,Is title 'rowdy fellow' original Netflix content?,"Is Netflix title 'rowdy fellow' a Series, Movie, or Documentary?"
russell peters almost famous,1,28,Is title 'russell peters almost famous' original Netflix content?,"Is Netflix title 'russell peters almost famous' a Series, Movie, or Documentary?"
saheb biwi aur gangster returns,1,31,Is title 'saheb biwi aur gangster returns' original Netflix content?,"Is Netflix title 'saheb biwi aur gangster returns' a Series, Movie, or Documentary?"
samba 2014,1,10,Is title 'samba 2014' original Netflix content?,"Is Netflix title 'samba 2014' a Series, Movie, or Documentary?"
scarlet hill,1,12,Is title 'scarlet hill' original Netflix content?,"Is Netflix title 'scarlet hill' a Series, Movie, or Documentary?"
world on fire,1,13,Is title 'world on fire' original Netflix content?,"Is Netflix title 'world on fire' a Series, Movie, or Documentary?"
schlag den star live  2019,1,26,Is title 'schlag den star live  2019' original Netflix content?,"Is Netflix title 'schlag den star live  2019' a Series, Movie, or Documentary?"
schloss einstein,1,16,Is title 'schloss einstein' original Netflix content?,"Is Netflix title 'schloss einstein' a Series, Movie, or Documentary?"
woodplum  prune des bois ou boskaatje ou woodplum,1,49,Is title 'woodplum  prune des bois ou boskaatje ou woodplum' original Netflix content?,"Is Netflix title 'woodplum  prune des bois ou boskaatje ou woodplum' a Series, Movie, or Documentary?"
school of rock 2003,1,19,Is title 'school of rock 2003' original Netflix content?,"Is Netflix title 'school of rock 2003' a Series, Movie, or Documentary?"
schweinskopf al dente,1,21,Is title 'schweinskopf al dente' original Netflix content?,"Is Netflix title 'schweinskopf al dente' a Series, Movie, or Documentary?"
search party 2014,1,17,Is title 'search party 2014' original Netflix content?,"Is Netflix title 'search party 2014' a Series, Movie, or Documentary?"
searching for bobby fischer,1,27,Is title 'searching for bobby fischer' original Netflix content?,"Is Netflix title 'searching for bobby fischer' a Series, Movie, or Documentary?"
seeking justice,1,15,Is title 'seeking justice' original Netflix content?,"Is Netflix title 'seeking justice' a Series, Movie, or Documentary?"
seiji oda,1,9,Is title 'seiji oda' original Netflix content?,"Is Netflix title 'seiji oda' a Series, Movie, or Documentary?"
seni bulacam oglum  seni bulacam olum,1,37,Is title 'seni bulacam oglum  seni bulacam olum' original Netflix content?,"Is Netflix title 'seni bulacam oglum  seni bulacam olum' a Series, Movie, or Documentary?"
senzo murder of a soccer star,1,29,Is title 'senzo murder of a soccer star' original Netflix content?,"Is Netflix title 'senzo murder of a soccer star' a Series, Movie, or Documentary?"
repo men,1,8,Is title 'repo men' original Netflix content?,"Is Netflix title 'repo men' a Series, Movie, or Documentary?"
remastered who shot the sheriff,1,31,Is title 'remastered who shot the sheriff' original Netflix content?,"Is Netflix title 'remastered who shot the sheriff' a Series, Movie, or Documentary?"
seth meyers lobby baby,1,22,Is title 'seth meyers lobby baby' original Netflix content?,"Is Netflix title 'seth meyers lobby baby' a Series, Movie, or Documentary?"
que horas ela volta,1,19,Is title 'que horas ela volta' original Netflix content?,"Is Netflix title 'que horas ela volta' a Series, Movie, or Documentary?"
pinky memsaab,1,13,Is title 'pinky memsaab' original Netflix content?,"Is Netflix title 'pinky memsaab' a Series, Movie, or Documentary?"
pitta kathalu,1,13,Is title 'pitta kathalu' original Netflix content?,"Is Netflix title 'pitta kathalu' a Series, Movie, or Documentary?"
pixie,1,5,Is title 'pixie' original Netflix content?,"Is Netflix title 'pixie' a Series, Movie, or Documentary?"
playing hard  zabawa zabawa,1,27,Is title 'playing hard  zabawa zabawa' original Netflix content?,"Is Netflix title 'playing hard  zabawa zabawa' a Series, Movie, or Documentary?"
wrongfully accused,1,18,Is title 'wrongfully accused' original Netflix content?,"Is Netflix title 'wrongfully accused' a Series, Movie, or Documentary?"
polcia federal  a lei  para todos,1,33,Is title 'polcia federal  a lei  para todos' original Netflix content?,"Is Netflix title 'polcia federal  a lei  para todos' a Series, Movie, or Documentary?"
poms,1,4,Is title 'poms' original Netflix content?,"Is Netflix title 'poms' a Series, Movie, or Documentary?"
pretty man,1,10,Is title 'pretty man' original Netflix content?,"Is Netflix title 'pretty man' a Series, Movie, or Documentary?"
prince,1,6,Is title 'prince' original Netflix content?,"Is Netflix title 'prince' a Series, Movie, or Documentary?"
puella magi madoka magica,1,25,Is title 'puella magi madoka magica' original Netflix content?,"Is Netflix title 'puella magi madoka magica' a Series, Movie, or Documentary?"
pulling strings,1,15,Is title 'pulling strings' original Netflix content?,"Is Netflix title 'pulling strings' a Series, Movie, or Documentary?"
queer eye germany,1,17,Is title 'queer eye germany' original Netflix content?,"Is Netflix title 'queer eye germany' a Series, Movie, or Documentary?"
red 2021,1,8,Is title 'red 2021' original Netflix content?,"Is Netflix title 'red 2021' a Series, Movie, or Documentary?"
qu pena tu vida 2016,1,20,Is title 'qu pena tu vida 2016' original Netflix content?,"Is Netflix title 'qu pena tu vida 2016' a Series, Movie, or Documentary?"
rabbit academy  mission eggpossible,1,35,Is title 'rabbit academy  mission eggpossible' original Netflix content?,"Is Netflix title 'rabbit academy  mission eggpossible' a Series, Movie, or Documentary?"
wretches,1,8,Is title 'wretches' original Netflix content?,"Is Netflix title 'wretches' a Series, Movie, or Documentary?"
rajma chawal,1,12,Is title 'rajma chawal' original Netflix content?,"Is Netflix title 'rajma chawal' a Series, Movie, or Documentary?"
ralphie may unruly,1,18,Is title 'ralphie may unruly' original Netflix content?,"Is Netflix title 'ralphie may unruly' a Series, Movie, or Documentary?"
woy,1,3,Is title 'woy' original Netflix content?,"Is Netflix title 'woy' a Series, Movie, or Documentary?"
real,1,4,Is title 'real' original Netflix content?,"Is Netflix title 'real' a Series, Movie, or Documentary?"
world trade center,1,18,Is title 'world trade center' original Netflix content?,"Is Netflix title 'world trade center' a Series, Movie, or Documentary?"
rebellion  rebelin,1,18,Is title 'rebellion  rebelin' original Netflix content?,"Is Netflix title 'rebellion  rebelin' a Series, Movie, or Documentary?"
record of grancrest war,1,23,Is title 'record of grancrest war' original Netflix content?,"Is Netflix title 'record of grancrest war' a Series, Movie, or Documentary?"
recovery boys,1,13,Is title 'recovery boys' original Netflix content?,"Is Netflix title 'recovery boys' a Series, Movie, or Documentary?"
serenity,1,8,Is title 'serenity' original Netflix content?,"Is Netflix title 'serenity' a Series, Movie, or Documentary?"
sex explained limited series,1,28,Is title 'sex explained limited series' original Netflix content?,"Is Netflix title 'sex explained limited series' a Series, Movie, or Documentary?"
team foxcatcher,1,15,Is title 'team foxcatcher' original Netflix content?,"Is Netflix title 'team foxcatcher' a Series, Movie, or Documentary?"
sunny,1,5,Is title 'sunny' original Netflix content?,"Is Netflix title 'sunny' a Series, Movie, or Documentary?"
stir of echoes,1,14,Is title 'stir of echoes' original Netflix content?,"Is Netflix title 'stir of echoes' a Series, Movie, or Documentary?"
stop or my mom will shoot,1,25,Is title 'stop or my mom will shoot' original Netflix content?,"Is Netflix title 'stop or my mom will shoot' a Series, Movie, or Documentary?"
women at war 19391945  elles taient en guerre 19391945,1,54,Is title 'women at war 19391945  elles taient en guerre 19391945' original Netflix content?,"Is Netflix title 'women at war 19391945  elles taient en guerre 19391945' a Series, Movie, or Documentary?"
stories of a generation  with pope francis limited series,1,57,Is title 'stories of a generation  with pope francis limited series' original Netflix content?,"Is Netflix title 'stories of a generation  with pope francis limited series' a Series, Movie, or Documentary?"
storm 2022,1,10,Is title 'storm 2022' original Netflix content?,"Is Netflix title 'storm 2022' a Series, Movie, or Documentary?"
storybots laugh learn sing collection 2 learn to read,1,53,Is title 'storybots laugh learn sing collection 2 learn to read' original Netflix content?,"Is Netflix title 'storybots laugh learn sing collection 2 learn to read' a Series, Movie, or Documentary?"
sudden death 1995,1,17,Is title 'sudden death 1995' original Netflix content?,"Is Netflix title 'sudden death 1995' a Series, Movie, or Documentary?"
sugar high,1,10,Is title 'sugar high' original Netflix content?,"Is Netflix title 'sugar high' a Series, Movie, or Documentary?"
summer time,1,11,Is title 'summer time' original Netflix content?,"Is Netflix title 'summer time' a Series, Movie, or Documentary?"
summerland 2020,1,15,Is title 'summerland 2020' original Netflix content?,"Is Netflix title 'summerland 2020' a Series, Movie, or Documentary?"
women at war 19141918  elles taient en guerre 19141918,1,54,Is title 'women at war 19141918  elles taient en guerre 19141918' original Netflix content?,"Is Netflix title 'women at war 19141918  elles taient en guerre 19141918' a Series, Movie, or Documentary?"
sunny our hearts beat together  sunny,1,37,Is title 'sunny our hearts beat together  sunny' original Netflix content?,"Is Netflix title 'sunny our hearts beat together  sunny' a Series, Movie, or Documentary?"
stander,1,7,Is title 'stander' original Netflix content?,"Is Netflix title 'stander' a Series, Movie, or Documentary?"
super monsters back to school,1,29,Is title 'super monsters back to school' original Netflix content?,"Is Netflix title 'super monsters back to school' a Series, Movie, or Documentary?"
super monsters monster pets,1,27,Is title 'super monsters monster pets' original Netflix content?,"Is Netflix title 'super monsters monster pets' a Series, Movie, or Documentary?"
super monsters dia de los monsters,1,34,Is title 'super monsters dia de los monsters' original Netflix content?,"Is Netflix title 'super monsters dia de los monsters' a Series, Movie, or Documentary?"
suzzanna buried alive  suzzanna bernapas dalam kubur,1,52,Is title 'suzzanna buried alive  suzzanna bernapas dalam kubur' original Netflix content?,"Is Netflix title 'suzzanna buried alive  suzzanna bernapas dalam kubur' a Series, Movie, or Documentary?"
swearnet the movie,1,18,Is title 'swearnet the movie' original Netflix content?,"Is Netflix title 'swearnet the movie' a Series, Movie, or Documentary?"
sweetie  caniko,1,15,Is title 'sweetie  caniko' original Netflix content?,"Is Netflix title 'sweetie  caniko' a Series, Movie, or Documentary?"
st kardeler,1,11,Is title 'st kardeler' original Netflix content?,"Is Netflix title 'st kardeler' a Series, Movie, or Documentary?"
tamasih elnil,1,13,Is title 'tamasih elnil' original Netflix content?,"Is Netflix title 'tamasih elnil' a Series, Movie, or Documentary?"
taste of tour,1,13,Is title 'taste of tour' original Netflix content?,"Is Netflix title 'taste of tour' a Series, Movie, or Documentary?"
tasty guys 20182019     20182019,1,32,Is title 'tasty guys 20182019     20182019' original Netflix content?,"Is Netflix title 'tasty guys 20182019     20182019' a Series, Movie, or Documentary?"
te ata,1,6,Is title 'te ata' original Netflix content?,"Is Netflix title 'te ata' a Series, Movie, or Documentary?"
step up revolution,1,18,Is title 'step up revolution' original Netflix content?,"Is Netflix title 'step up revolution' a Series, Movie, or Documentary?"
stand out an lgbtq celebration,1,30,Is title 'stand out an lgbtq celebration' original Netflix content?,"Is Netflix title 'stand out an lgbtq celebration' a Series, Movie, or Documentary?"
wonderlus,1,9,Is title 'wonderlus' original Netflix content?,"Is Netflix title 'wonderlus' a Series, Movie, or Documentary?"
sisterakas,1,10,Is title 'sisterakas' original Netflix content?,"Is Netflix title 'sisterakas' a Series, Movie, or Documentary?"
shaun of the dead,1,17,Is title 'shaun of the dead' original Netflix content?,"Is Netflix title 'shaun of the dead' a Series, Movie, or Documentary?"
she professed herself pupil of the wise man,1,43,Is title 'she professed herself pupil of the wise man' original Netflix content?,"Is Netflix title 'she professed herself pupil of the wise man' a Series, Movie, or Documentary?"
shes funny that way,1,19,Is title 'shes funny that way' original Netflix content?,"Is Netflix title 'shes funny that way' a Series, Movie, or Documentary?"
shinjuku incident,1,17,Is title 'shinjuku incident' original Netflix content?,"Is Netflix title 'shinjuku incident' a Series, Movie, or Documentary?"
si accettano miracoli,1,21,Is title 'si accettano miracoli' original Netflix content?,"Is Netflix title 'si accettano miracoli' a Series, Movie, or Documentary?"
si yo fuera rico,1,16,Is title 'si yo fuera rico' original Netflix content?,"Is Netflix title 'si yo fuera rico' a Series, Movie, or Documentary?"
silent night 2021,1,17,Is title 'silent night 2021' original Netflix content?,"Is Netflix title 'silent night 2021' a Series, Movie, or Documentary?"
wonderland 2017,1,15,Is title 'wonderland 2017' original Netflix content?,"Is Netflix title 'wonderland 2017' a Series, Movie, or Documentary?"
silverstar,1,10,Is title 'silverstar' original Netflix content?,"Is Netflix title 'silverstar' a Series, Movie, or Documentary?"
singapore social,1,16,Is title 'singapore social' original Netflix content?,"Is Netflix title 'singapore social' a Series, Movie, or Documentary?"
single street  singel 39,1,24,Is title 'single street  singel 39' original Netflix content?,"Is Netflix title 'single street  singel 39' a Series, Movie, or Documentary?"
womens revenge  ensk pomsta,1,27,Is title 'womens revenge  ensk pomsta' original Netflix content?,"Is Netflix title 'womens revenge  ensk pomsta' a Series, Movie, or Documentary?"
sri ayodhaya,1,12,Is title 'sri ayodhaya' original Netflix content?,"Is Netflix title 'sri ayodhaya' a Series, Movie, or Documentary?"
skins  pieles,1,13,Is title 'skins  pieles' original Netflix content?,"Is Netflix title 'skins  pieles' a Series, Movie, or Documentary?"
sleepless society bedtime wishes,1,32,Is title 'sleepless society bedtime wishes' original Netflix content?,"Is Netflix title 'sleepless society bedtime wishes' a Series, Movie, or Documentary?"
sleepy princess in the demon castle,1,35,Is title 'sleepy princess in the demon castle' original Netflix content?,"Is Netflix title 'sleepy princess in the demon castle' a Series, Movie, or Documentary?"
so undercover,1,13,Is title 'so undercover' original Netflix content?,"Is Netflix title 'so undercover' a Series, Movie, or Documentary?"
sommerfest,1,10,Is title 'sommerfest' original Netflix content?,"Is Netflix title 'sommerfest' a Series, Movie, or Documentary?"
songbird,1,8,Is title 'songbird' original Netflix content?,"Is Netflix title 'songbird' a Series, Movie, or Documentary?"
sound euphonium 2    2,1,22,Is title 'sound euphonium 2    2' original Netflix content?,"Is Netflix title 'sound euphonium 2    2' a Series, Movie, or Documentary?"
source code,1,11,Is title 'source code' original Netflix content?,"Is Netflix title 'source code' a Series, Movie, or Documentary?"
speed kills 2018,1,16,Is title 'speed kills 2018' original Netflix content?,"Is Netflix title 'speed kills 2018' a Series, Movie, or Documentary?"
spy kids,1,8,Is title 'spy kids' original Netflix content?,"Is Netflix title 'spy kids' a Series, Movie, or Documentary?"
spy kids 2 the island of lost dreams,1,36,Is title 'spy kids 2 the island of lost dreams' original Netflix content?,"Is Netflix title 'spy kids 2 the island of lost dreams' a Series, Movie, or Documentary?"
hana yori dango,1,15,Is title 'hana yori dango' original Netflix content?,"Is Netflix title 'hana yori dango' a Series, Movie, or Documentary?"
half blue sky part 2,1,20,Is title 'half blue sky part 2' original Netflix content?,"Is Netflix title 'half blue sky part 2' a Series, Movie, or Documentary?"
half blue sky part 1,1,20,Is title 'half blue sky part 1' original Netflix content?,"Is Netflix title 'half blue sky part 1' a Series, Movie, or Documentary?"
all is well  alles ist gut,1,26,Is title 'all is well  alles ist gut' original Netflix content?,"Is Netflix title 'all is well  alles ist gut' a Series, Movie, or Documentary?"
transcendence 2014,1,18,Is title 'transcendence 2014' original Netflix content?,"Is Netflix title 'transcendence 2014' a Series, Movie, or Documentary?"
transporter 3,1,13,Is title 'transporter 3' original Netflix content?,"Is Netflix title 'transporter 3' a Series, Movie, or Documentary?"
traumfrauen,1,11,Is title 'traumfrauen' original Netflix content?,"Is Netflix title 'traumfrauen' a Series, Movie, or Documentary?"
travis scott look mom i can fly,1,31,Is title 'travis scott look mom i can fly' original Netflix content?,"Is Netflix title 'travis scott look mom i can fly' a Series, Movie, or Documentary?"
tre uomini e una gamba,1,22,Is title 'tre uomini e una gamba' original Netflix content?,"Is Netflix title 'tre uomini e una gamba' a Series, Movie, or Documentary?"
trevor noah afraid of the dark,1,30,Is title 'trevor noah afraid of the dark' original Netflix content?,"Is Netflix title 'trevor noah afraid of the dark' a Series, Movie, or Documentary?"
trevor noah son of patricia,1,27,Is title 'trevor noah son of patricia' original Netflix content?,"Is Netflix title 'trevor noah son of patricia' a Series, Movie, or Documentary?"
true and the rainbow kingdom the rainbow kingdom part b,1,55,Is title 'true and the rainbow kingdom the rainbow kingdom part b' original Netflix content?,"Is Netflix title 'true and the rainbow kingdom the rainbow kingdom part b' a Series, Movie, or Documentary?"
true tunes songs,1,16,Is title 'true tunes songs' original Netflix content?,"Is Netflix title 'true tunes songs' a Series, Movie, or Documentary?"
two brothers  deux frres,1,24,Is title 'two brothers  deux frres' original Netflix content?,"Is Netflix title 'two brothers  deux frres' a Series, Movie, or Documentary?"
two is a family  demain tout commence,1,37,Is title 'two is a family  demain tout commence' original Netflix content?,"Is Netflix title 'two is a family  demain tout commence' a Series, Movie, or Documentary?"
two types of people  nsanlar kiye ayrlr,1,39,Is title 'two types of people  nsanlar kiye ayrlr' original Netflix content?,"Is Netflix title 'two types of people  nsanlar kiye ayrlr' a Series, Movie, or Documentary?"
zombie land saga,1,16,Is title 'zombie land saga' original Netflix content?,"Is Netflix title 'zombie land saga' a Series, Movie, or Documentary?"
uturn 2020,1,10,Is title 'uturn 2020' original Netflix content?,"Is Netflix title 'uturn 2020' a Series, Movie, or Documentary?"
us marshals,1,11,Is title 'us marshals' original Netflix content?,"Is Netflix title 'us marshals' a Series, Movie, or Documentary?"
ultimate beastmaster france no surrender,1,40,Is title 'ultimate beastmaster france no surrender' original Netflix content?,"Is Netflix title 'ultimate beastmaster france no surrender' a Series, Movie, or Documentary?"
ultraviolet,1,11,Is title 'ultraviolet' original Netflix content?,"Is Netflix title 'ultraviolet' a Series, Movie, or Documentary?"
un figlio di nome erasmus,1,25,Is title 'un figlio di nome erasmus' original Netflix content?,"Is Netflix title 'un figlio di nome erasmus' a Series, Movie, or Documentary?"
underworld evolution,1,20,Is title 'underworld evolution' original Netflix content?,"Is Netflix title 'underworld evolution' a Series, Movie, or Documentary?"
unforgettable 2017,1,18,Is title 'unforgettable 2017' original Netflix content?,"Is Netflix title 'unforgettable 2017' a Series, Movie, or Documentary?"
unlucky ploy,1,12,Is title 'unlucky ploy' original Netflix content?,"Is Netflix title 'unlucky ploy' a Series, Movie, or Documentary?"
untold breaking point,1,21,Is title 'untold breaking point' original Netflix content?,"Is Netflix title 'untold breaking point' a Series, Movie, or Documentary?"
zola,1,4,Is title 'zola' original Netflix content?,"Is Netflix title 'zola' a Series, Movie, or Documentary?"
urvasivo rakshasivo,1,19,Is title 'urvasivo rakshasivo' original Netflix content?,"Is Netflix title 'urvasivo rakshasivo' a Series, Movie, or Documentary?"
zokuowarimonogatari,1,19,Is title 'zokuowarimonogatari' original Netflix content?,"Is Netflix title 'zokuowarimonogatari' a Series, Movie, or Documentary?"
tootsies  the fake,1,18,Is title 'tootsies  the fake' original Netflix content?,"Is Netflix title 'tootsies  the fake' a Series, Movie, or Documentary?"
too handsome to handle  terlalu tampan,1,38,Is title 'too handsome to handle  terlalu tampan' original Netflix content?,"Is Netflix title 'too handsome to handle  terlalu tampan' a Series, Movie, or Documentary?"
tomcats 2001,1,12,Is title 'tomcats 2001' original Netflix content?,"Is Netflix title 'tomcats 2001' a Series, Movie, or Documentary?"
the undateables 2012 series 10,1,30,Is title 'the undateables 2012 series 10' original Netflix content?,"Is Netflix title 'the undateables 2012 series 10' a Series, Movie, or Documentary?"
the professor and the madman,1,28,Is title 'the professor and the madman' original Netflix content?,"Is Netflix title 'the professor and the madman' a Series, Movie, or Documentary?"
the queen 2006,1,14,Is title 'the queen 2006' original Netflix content?,"Is Netflix title 'the queen 2006' a Series, Movie, or Documentary?"
the real housewives of atlanta,1,30,Is title 'the real housewives of atlanta' original Netflix content?,"Is Netflix title 'the real housewives of atlanta' a Series, Movie, or Documentary?"
the seal number 10 from the street  la foquita el 10 de la calle,1,64,Is title 'the seal number 10 from the street  la foquita el 10 de la calle' original Netflix content?,"Is Netflix title 'the seal number 10 from the street  la foquita el 10 de la calle' a Series, Movie, or Documentary?"
the silence of the marsh  el silencio del pantano,1,49,Is title 'the silence of the marsh  el silencio del pantano' original Netflix content?,"Is Netflix title 'the silence of the marsh  el silencio del pantano' a Series, Movie, or Documentary?"
the space between 2021,1,22,Is title 'the space between 2021' original Netflix content?,"Is Netflix title 'the space between 2021' a Series, Movie, or Documentary?"
the substitute 1996,1,19,Is title 'the substitute 1996' original Netflix content?,"Is Netflix title 'the substitute 1996' a Series, Movie, or Documentary?"
the theory of everything,1,24,Is title 'the theory of everything' original Netflix content?,"Is Netflix title 'the theory of everything' a Series, Movie, or Documentary?"
the third charm,1,15,Is title 'the third charm' original Netflix content?,"Is Netflix title 'the third charm' a Series, Movie, or Documentary?"
the treacherous,1,15,Is title 'the treacherous' original Netflix content?,"Is Netflix title 'the treacherous' a Series, Movie, or Documentary?"
the tunnel gang  los del tnel,1,29,Is title 'the tunnel gang  los del tnel' original Netflix content?,"Is Netflix title 'the tunnel gang  los del tnel' a Series, Movie, or Documentary?"
the uninvited 2009,1,18,Is title 'the uninvited 2009' original Netflix content?,"Is Netflix title 'the uninvited 2009' a Series, Movie, or Documentary?"
tom papa youre doing great,1,26,Is title 'tom papa youre doing great' original Netflix content?,"Is Netflix title 'tom papa youre doing great' a Series, Movie, or Documentary?"
the vampire dies in no time,1,27,Is title 'the vampire dies in no time' original Netflix content?,"Is Netflix title 'the vampire dies in no time' a Series, Movie, or Documentary?"
zombie tidal wave,1,17,Is title 'zombie tidal wave' original Netflix content?,"Is Netflix title 'zombie tidal wave' a Series, Movie, or Documentary?"
the way back 2010,1,17,Is title 'the way back 2010' original Netflix content?,"Is Netflix title 'the way back 2010' a Series, Movie, or Documentary?"
the whole nine yards,1,20,Is title 'the whole nine yards' original Netflix content?,"Is Netflix title 'the whole nine yards' a Series, Movie, or Documentary?"
the young offenders 2016,1,24,Is title 'the young offenders 2016' original Netflix content?,"Is Netflix title 'the young offenders 2016' a Series, Movie, or Documentary?"
thibaan the series,1,18,Is title 'thibaan the series' original Netflix content?,"Is Netflix title 'thibaan the series' a Series, Movie, or Documentary?"
thimmarusu,1,10,Is title 'thimmarusu' original Netflix content?,"Is Netflix title 'thimmarusu' a Series, Movie, or Documentary?"
zombie land saga revenge,1,24,Is title 'zombie land saga revenge' original Netflix content?,"Is Netflix title 'zombie land saga revenge' a Series, Movie, or Documentary?"
three days of christmas,1,23,Is title 'three days of christmas' original Netflix content?,"Is Netflix title 'three days of christmas' a Series, Movie, or Documentary?"
three identical strangers,1,25,Is title 'three identical strangers' original Netflix content?,"Is Netflix title 'three identical strangers' a Series, Movie, or Documentary?"
tokyo trial,1,11,Is title 'tokyo trial' original Netflix content?,"Is Netflix title 'tokyo trial' a Series, Movie, or Documentary?"
ushijima the loan shark part 2   part2,1,38,Is title 'ushijima the loan shark part 2   part2' original Netflix content?,"Is Netflix title 'ushijima the loan shark part 2   part2' a Series, Movie, or Documentary?"
uyare,1,5,Is title 'uyare' original Netflix content?,"Is Netflix title 'uyare' a Series, Movie, or Documentary?"
valentino,1,9,Is title 'valentino' original Netflix content?,"Is Netflix title 'valentino' a Series, Movie, or Documentary?"
abgeschnitten,1,13,Is title 'abgeschnitten' original Netflix content?,"Is Netflix title 'abgeschnitten' a Series, Movie, or Documentary?"
7 dwarves  sieben zwerge  mnner allein im wald,1,46,Is title '7 dwarves  sieben zwerge  mnner allein im wald' original Netflix content?,"Is Netflix title '7 dwarves  sieben zwerge  mnner allein im wald' a Series, Movie, or Documentary?"
a civil action,1,14,Is title 'a civil action' original Netflix content?,"Is Netflix title 'a civil action' a Series, Movie, or Documentary?"
a fantastic woman  una mujer fantstica,1,38,Is title 'a fantastic woman  una mujer fantstica' original Netflix content?,"Is Netflix title 'a fantastic woman  una mujer fantstica' a Series, Movie, or Documentary?"
a hard day 2021,1,15,Is title 'a hard day 2021' original Netflix content?,"Is Netflix title 'a hard day 2021' a Series, Movie, or Documentary?"
a most wanted man,1,17,Is title 'a most wanted man' original Netflix content?,"Is Netflix title 'a most wanted man' a Series, Movie, or Documentary?"
a naija christmas,1,17,Is title 'a naija christmas' original Netflix content?,"Is Netflix title 'a naija christmas' a Series, Movie, or Documentary?"
a perfect crime limited series  ein perfektes verbrechen miniserie,1,66,Is title 'a perfect crime limited series  ein perfektes verbrechen miniserie' original Netflix content?,"Is Netflix title 'a perfect crime limited series  ein perfektes verbrechen miniserie' a Series, Movie, or Documentary?"
a second chance 2015,1,20,Is title 'a second chance 2015' original Netflix content?,"Is Netflix title 'a second chance 2015' a Series, Movie, or Documentary?"
a violent prosecutor,1,20,Is title 'a violent prosecutor' original Netflix content?,"Is Netflix title 'a violent prosecutor' a Series, Movie, or Documentary?"
a wolf at the door  o lobo atrs da porta,1,40,Is title 'a wolf at the door  o lobo atrs da porta' original Netflix content?,"Is Netflix title 'a wolf at the door  o lobo atrs da porta' a Series, Movie, or Documentary?"
abcd any body can dance,1,23,Is title 'abcd any body can dance' original Netflix content?,"Is Netflix title 'abcd any body can dance' a Series, Movie, or Documentary?"
abschussfahrt  vier ist einer zu voll,1,37,Is title 'abschussfahrt  vier ist einer zu voll' original Netflix content?,"Is Netflix title 'abschussfahrt  vier ist einer zu voll' a Series, Movie, or Documentary?"
2 weeks in lagos,1,16,Is title '2 weeks in lagos' original Netflix content?,"Is Netflix title '2 weeks in lagos' a Series, Movie, or Documentary?"
absolute power 1997,1,19,Is title 'absolute power 1997' original Netflix content?,"Is Netflix title 'absolute power 1997' a Series, Movie, or Documentary?"
ace of diamond second,1,21,Is title 'ace of diamond second' original Netflix content?,"Is Netflix title 'ace of diamond second' a Series, Movie, or Documentary?"
ace of diamond act ii   a act ii,1,32,Is title 'ace of diamond act ii   a act ii' original Netflix content?,"Is Netflix title 'ace of diamond act ii   a act ii' a Series, Movie, or Documentary?"
adult material,1,14,Is title 'adult material' original Netflix content?,"Is Netflix title 'adult material' a Series, Movie, or Documentary?"
age of rebellion,1,16,Is title 'age of rebellion' original Netflix content?,"Is Netflix title 'age of rebellion' a Series, Movie, or Documentary?"
air buddies,1,11,Is title 'air buddies' original Netflix content?,"Is Netflix title 'air buddies' a Series, Movie, or Documentary?"
ajab prem ki ghazab kahani,1,26,Is title 'ajab prem ki ghazab kahani' original Netflix content?,"Is Netflix title 'ajab prem ki ghazab kahani' a Series, Movie, or Documentary?"
al bar dello sport,1,18,Is title 'al bar dello sport' original Netflix content?,"Is Netflix title 'al bar dello sport' a Series, Movie, or Documentary?"
alacrn enamorado,1,16,Is title 'alacrn enamorado' original Netflix content?,"Is Netflix title 'alacrn enamorado' a Series, Movie, or Documentary?"
alfons zitterbacke das chaos ist zurck,1,38,Is title 'alfons zitterbacke das chaos ist zurck' original Netflix content?,"Is Netflix title 'alfons zitterbacke das chaos ist zurck' a Series, Movie, or Documentary?"
ali wong baby cobra,1,19,Is title 'ali wong baby cobra' original Netflix content?,"Is Netflix title 'ali wong baby cobra' a Series, Movie, or Documentary?"
